review,movie,studio,release_date,genres,rate,author,date,link
Lets start of with the good things. The action sequences are well done and there are a lot of them. And the visuals are top notch. It really does feel like youâ,Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",5,AwesomeReviewer,"Mar 26, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"This was a heck of a lot better than what people make it out to be. I can see why people don't like this one as much as the first, but I was able to enjoy it. It does feel like it should've been a spin-off movie, rather than calling it ""cars 2"" but it's still enjoyable.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",7,Untitled94,"Aug  4, 2017",https://www.metacritic.com/movie/cars-2/user-reviews
"My 3.5 year old boy loves all Pixar movies, as do I. Cars 2 should be rated PG, not G, as it IS very violent. Guns, explosions, and killing/death are what the entire movie consists of, oh yeah and racing. We are trying to limit the amount of violence/weapons our son intakes. If you remember, even in Toy Story, Woody never had a gun in his holster, always empty. I don't necesarily mind that Pixar went this route cause it's not there job to cater to young children. I am however disapointed that the MPAA approved a G rating for this film when it CLEARLY should be PG",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,BEER,"Aug 22, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"A good exciting cool car action movie with gadgets and guns,exciting chases,spy action and Big explosions,better than the original.I bet they are going to make a third cars movie for a secret villian.My favorite part is when mater says dad-gum and then the computer activates the terminator guns and shoots crazlily, it was funny.and my other part is the beginning thats the most start for a spy named Finn Mcmissle,who does gadgets,guns and car-fu.that was like my favorite action scene in the movie.My other funny scene is that mater tastes the wassabi and his tongue was burning off-screen.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",8,MovieCritic17,"Aug 27, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"I read the reviews here before I decided on going for the movie. Judging by the low score here, I assumed it would be a pretty flat movie but I was pleasantly surprised! Not only is this movie as good as the first, in some respects its even better. The only reason I would suspect that this movie got a low score here is that its a bit too involved to be a pure kiddy movie. Its actually got all the pizazz of a James Bond flick and plenty of laughs thrown in as well. Sure the dialog could be better in some places, but its really not all that bad a film overall.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",9,Vulcan,"Aug 31, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
Cars 2 is basically the first Cars with a sprinkle of The Fast and the Furious. This was an experiment that Pixar has never done before and I respect that. Just because Cars 2 isn't a heartwarming Toy Story 3 doesn't mean that it is bad. Cars 2 breaks the overused tradition of other Pixar films and thats why I don't think it is as bad as the critics say it is.,Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,Zilcell,"Mar  2, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"Why do people hate this movie, I mean sure its not Pixar's best but it's still great, its a funny spy movie with likeable characters, I mean how could people not like the characters. What's wrong with a spy car, a race car, and a tow truck. This movie is not Pixar's worst movie",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,James3129,"Jun 12, 2013",https://www.metacritic.com/movie/cars-2/user-reviews
"Okay, it was a fairly decent movie. But the dream company, Pixar, didn't add the warmth and feeling. The first I didn't care for much, but it had that love in it. Cars 2 was aesthetically marvelous, but it felt like a small glove. The move didn't feel right. It did not have the Pixas shimmer and secret ingredient, love.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",7,homer4president,"Mar 12, 2015",https://www.metacritic.com/movie/cars-2/user-reviews
"I love First Cars and Second Cars and I hard to say that the cooler , but both games I put 9/10 . In Cars 2 there is a good storyline and this movie is a good sequel for Cars . I am waiting Cars 3 . I watched this movie in 2013 and it was very interesting to me . In this game a lot of cool characters . 9/10 . Very good and amazing cartoon .",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",9,Shadow1,"May 17, 2016",https://www.metacritic.com/movie/cars-2/user-reviews
"Overall, it is a good animated movie. But this is not what I expect from Pixar. Complicated plot, occasionally cheesy voice acting and surprisingly basic presentation. The animation as always is fantastic. But still, I am very disappointed with Pixar. I expect a lot more from them. I hope they will redeem themselves in their next films.................",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",6,aaronpaul121,"Oct  3, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"Wij vonden de film hartstikke leuk! De hele klas heeft ervan genoten! We hopen op een Cars 3!! De verhaallijn had misschien iets simpeler gekund, maar Cars blijft Cars! We zijn 3 keer naar de bioscoop geweest, en zodra de film op dvd uit komt rennen mijn kinderen meteen naar de winkel!Jammer dat Cars 3 door sommige wordt afgekraakt!Zijn gewoon jaloers!Cars blijft speelgoed verkopen al 5 jaar lang, wie doet jullie dat na??!!Be proud!!And good job!!",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,Joyce,"Sep  4, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"Lightning McQueen (Owen Wilson) is offered a placement  to race in a new international race circuit involving the greatest style of race cars. However, there is one specific race car McQueen desires to beat, the Italian Francesco Bernoilli  The hardly see eye to eye on the race track. The International races are located at Tokyo, Italy and London. Sadly, Mater has a problem. He must take part in a mission to stop the evil villains destroying the best cars with their lasers.Mater appears to have the spotlight throughout, unlike McQueen in the first installment. We see the rusty truck as a sidekick to McQueen as he sets out to be the hero and becoming a spy along with Holley Shiftwell (Emily Mortimer) and Finn McMissile (Michael Caine) whose voice acting is superb. A few action scenes reminiscent of James Bond films appear in the film which are very enjoyable and keep the older audience from getting bored. The moral message to this film is â",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",8,Booleanflix,"Sep 10, 2011",https://www.metacritic.com/movie/cars-2/user-reviews
"Okay, let me re-explain what you probably know; Cars 2 is widely being considered as Pixar's worst. This is true. It's also being widely considered as a bad film. This is not true. I personally believe this is another great film from Pixar, it just plunges a little more into the Dreamworks tub. The story revolves around Mater, rather than Lightning McQueen, a mixed decision in my opinion. On one hand, Lightning McQueen is a bland character, with little personality. And Mater, while much more interesting and defined, is also extremely one dimensional, and that really shows when he becomes the star of the show. Mater is mistaken as an American spy by two secret agents, Flinn McMissile and Holly Shiftwell. Mater then takes part in many missions, while the two secret agents have no idea he's just a regular tow truck. In the meantime, Lightning McQueen is on a World Grand Prix in hopes of beating the **** Francesco. There's a bit more to the plot than this, but that's the gist of it. The film certainly looks like a Pixar film. The animation is easily Pixar's best; appearing more detailed than that of Toy Story 3, and the various race/spy scenes give the movie a chance to show what it can do. Some things look impeccably real (in the last 20 minutes of the film, take a look at the trees). The film sounds like a Pixar movie too. The musical soundtrack is performed masterfully by Michael Giacchino. Also, the voice talents have been selected carefully, just as in all Pixar films. The original voice actors are back (though due to the death of two characters, Fillmore's voice has been replaced and Doc is deceased), though most of them get few appearances. Also, John Ratzenberger (who gets a role in every Pixar film) has an infestimal role in this film: only two lines. So, the film sounds and looks like a Pixar, but it doesn't feel like one. Compared to the other Pixars, the story is weak and disappointing. Also, there is none of the heart and emotion that made the other Pixars so lovable. There's little adult-kid balance, so most parents won't be watching with their kids, which is completely opposite of other Pixars, where parents may enjoy the film more than the kids. I said earlier that this film is more like a Dreamworks movie. This is because of the lack of emotion, the shallow story, and the kid appeal. Even the humor is a little more Dreamworks oriented, a lot of it being roll-your-eyes kind of humor, and there's even some potty humor. That's not to say you won't laugh; there are plenty of amusing bits, but overall, it pales in comparison to Pixar's previous efforts. Concluding, this is Pixar's worst film, hands down. However, it's still a great film, although flawed. It's certainly not a must see like the other Pixars, but it's good enough. Just don't do this to us again, Pixar: I won't be quite as forgiving.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",7,LandF,"Apr 19, 2012",https://www.metacritic.com/movie/cars-2/user-reviews
"Star racecar Lightning McQueen and the incomparable tow truck Mater take their friendship to exciting new places in ""Cars 2"" when they head overseas to compete in the first-ever World Grand Prix to determine the world's fastest car. But the road to the championship is filled with plenty of potholes, detours and hilarious surprises when Mater gets caught up in an intriguing adventure of his own: international espionage. Torn between assisting Lightning McQueen in the high-profile race and towing the line in a top-secret spy mission, Mater’s action-packed journey leads him on an explosive chase through the streets of Japan and Europe, trailed by his friends and watched by the whole world. Adding to the fast-paced fun is a colorful new all-car cast that includes secret agents, menacing villains and international racing competitors.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",6,SythusRATINGS,"Oct 19, 2014",https://www.metacritic.com/movie/cars-2/user-reviews
"I stayed there until fame Lightning McQueen , and Mater the star is wearing, but hey, the scripts change, for me the movie is very good , but say it is the worst pelicua PIXAR That being so I do not more you put a 5.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",6,CineAutoctono,"Jul 21, 2015",https://www.metacritic.com/movie/cars-2/user-reviews
"Like the first, this was not great but not very bad either. The transition from the ""Hot-shot comes to small town and learns life lessons"" theme of the first to a spy movie was a bit odd but there were still some entertaining gags. Mater was a great part of the first so it was nice to see him get more screen time. And it was clever to have the James Bond parody be an Aston Martin but it was a bit weak in parts. Perhaps this wouldn't be a problem if we hadn't come to expect so much from Pixar but we have. Who knows-maybe Cars 3 will be better. Maybe it'll be a third time lucky situation. But the movie does have it's charms, it's by no means bad. Just a bit disappointing compared to most Pixar films.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",6,DanBurrito,"Sep 27, 2015",https://www.metacritic.com/movie/cars-2/user-reviews
I enjoyed this film more than the first. I love that spy story where Mater involves. It's a funny film! Why too many dislikers... anyway I'm not a huge fan and I'm not really waiting for the 3 because I don't think it's necessary.,Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",7,diegonelli,"Sep 13, 2015",https://www.metacritic.com/movie/cars-2/user-reviews
"Pixar is the standard bearer for animated movies that appeal equally to children and adults, and this is no exception. There has yet to be a Pixar film that doesn't make more than $100 million or score a devoted following from both critics and audiences. The animation is gorgeous, the action sequences crisp, the voice acting impeccable, and the inside jokes funny. Cars 2 is not a masterpiece when stacked up against the Toy Story sequels, but it's a fun summer spectacle that will make kids think about what it means to really be yourself, even when there's pressure to change.Mater is now the protagonist, and the world is the setting; while that expands the action and the automobile humor (geisha cars, the Queen as a vintage Rolls, and Prince Wheeliam as a Bentley), it does limit the amount of time that we spend with our old friends from Radiator Springs. Caine and Emily Mortimer are perfectly cast as the British intelligence agents who mistake Mater for an American spy, but in the end, this is Larry the Cable Guy's shining moment.",Cars 2,Walt Disney Studios Motion Pictures,"June 24, 2011","['Comedy', 'Animation']",10,ceb1031,"Jun 28, 2017",https://www.metacritic.com/movie/cars-2/user-reviews
